timeStamp,sym,price,qty
2023-01-01D12:00:00.000013860,USDJPY,114999861,224
2023-01-01D12:00:00.000066391,EURUSD,1199153,852
2023-01-01D12:00:00.000451430,GBPUSD,1350157,507
2023-01-01D12:00:01.000124144,EURUSD,1200009,140
2023-01-01D12:00:01.000217154,USDJPY,114999759,696
2023-01-01D12:00:01.000875410,GBPUSD,1349003,576
2023-01-01D12:00:02.000008635,EURUSD,1200126,242
2023-01-01D12:00:02.000745845,USDJPY,114999372,442
2023-01-01D12:00:02.000796309,GBPUSD,1349610,940
2023-01-01D12:00:03.000729811,GBPUSD,1350305,124
2023-01-01D12:00:03.000787756,EURUSD,1200051,563
2023-01-01D12:00:03.000872599,USDJPY,115000684,231
2023-01-01D12:00:04.000167577,USDJPY,114999157,156
2023-01-01D12:00:04.000327925,GBPUSD,1349241,595
2023-01-01D12:00:04.000343639,EURUSD,1199470,239
2023-01-01D12:00:05.000025306,EURUSD,1200902,122
2023-01-01D12:00:05.000462309,USDJPY,114999884,688
2023-01-01D12:00:05.000967380,GBPUSD,1350356,213
2023-01-01D12:00:06.000134535,GBPUSD,1350024,344
2023-01-01D12:00:06.000475254,EURUSD,1199533,884
2023-01-01D12:00:06.000698074,USDJPY,114999826,408
2023-01-01D12:00:07.000540551,EURUSD,1199621,293
2023-01-01D12:00:07.000670462,GBPUSD,1350755,789
2023-01-01D12:00:07.000806991,USDJPY,114999020,494
2023-01-01D12:00:08.000161266,GBPUSD,1349297,556
2023-01-01D12:00:08.000501287,USDJPY,115000725,915
2023-01-01D12:00:08.000587559,EURUSD,1200502,513
2023-01-01D12:00:09.000339810,USDJPY,115000487,798
2023-01-01D12:00:09.000623188,EURUSD,1200977,709
2023-01-01D12:00:09.000809979,GBPUSD,1349536,262
2023-01-01D12:00:10.000274067,USDJPY,114999525,438
2023-01-01D12:00:10.000762508,GBPUSD,1350178,323
2023-01-01D12:00:10.000828282,EURUSD,1199249,44
2023-01-01D12:00:11.000030812,USDJPY,114999660,920
2023-01-01D12:00:11.000206586,GBPUSD,1350014,216
2023-01-01D12:00:11.000945686,EURUSD,1200053,636
2023-01-01D12:00:12.000076901,USDJPY,114999747,605
2023-01-01D12:00:12.000245347,GBPUSD,1349877,765
2023-01-01D12:00:12.000263495,EURUSD,1199475,529
2023-01-01D12:00:13.000315382,GBPUSD,1349264,627
2023-01-01D12:00:13.000449791,EURUSD,1200301,655
2023-01-01D12:00:13.000528240,USDJPY,115000709,453
2023-01-01D12:00:14.000002120,GBPUSD,1350888,765
2023-01-01D12:00:14.000132391,USDJPY,114999479,653
2023-01-01D12:00:14.000188392,EURUSD,1200138,791
2023-01-01D12:00:15.000024012,GBPUSD,1350736,675
2023-01-01D12:00:15.000448440,USDJPY,114999344,69
2023-01-01D12:00:15.000659151,EURUSD,1199259,455
2023-01-01D12:00:16.000191927,EURUSD,1199341,605
2023-01-01D12:00:16.000333909,GBPUSD,1350185,768
2023-01-01D12:00:16.000909347,USDJPY,114999982,707
2023-01-01D12:00:17.000261394,GBPUSD,1349325,741
2023-01-01D12:00:17.000357843,USDJPY,114999386,162
2023-01-01D12:00:17.000648966,EURUSD,1199819,340
2023-01-01D12:00:18.000258578,GBPUSD,1350033,525
2023-01-01D12:00:18.000273022,USDJPY,115000418,196
2023-01-01D12:00:18.000373679,EURUSD,1199588,533
2023-01-01D12:00:19.000117937,USDJPY,115000438,437
2023-01-01D12:00:19.000422872,GBPUSD,1349742,438
2023-01-01D12:00:19.000664192,EURUSD,1199477,656
2023-01-01D12:00:20.000099710,USDJPY,115000071,422
2023-01-01D12:00:20.000109380,GBPUSD,1349596,599
2023-01-01D12:00:20.000450171,EURUSD,1199972,720
2023-01-01D12:00:21.000516978,EURUSD,1200824,495
2023-01-01D12:00:21.000722926,GBPUSD,1349057,540
2023-01-01D12:00:21.000910137,USDJPY,115000001,802
2023-01-01D12:00:22.000035555,EURUSD,1200455,525
2023-01-01D12:00:22.000494434,USDJPY,114999666,723
2023-01-01D12:00:22.000530338,GBPUSD,1350757,191
2023-01-01D12:00:23.000116111,USDJPY,115000041,926
2023-01-01D12:00:23.000342912,GBPUSD,1349682,617
2023-01-01D12:00:23.000649694,EURUSD,1200671,181
2023-01-01D12:00:24.000362379,EURUSD,1199489,318
2023-01-01D12:00:24.000367301,GBPUSD,1350375,225
2023-01-01D12:00:24.000532349,USDJPY,114999294,869
2023-01-01D12:00:25.000462099,USDJPY,115000117,244
2023-01-01D12:00:25.000664894,EURUSD,1200783,366
2023-01-01D12:00:25.000696840,GBPUSD,1350909,344
2023-01-01D12:00:26.000392491,EURUSD,1199385,833
2023-01-01D12:00:26.000570498,USDJPY,115000771,815
2023-01-01D12:00:26.000625220,GBPUSD,1349498,828
2023-01-01D12:00:27.000211166,EURUSD,1200368,145
2023-01-01D12:00:27.000912719,USDJPY,114999810,34
2023-01-01D12:00:27.000915512,GBPUSD,1350580,554
2023-01-01D12:00:28.000093282,USDJPY,115000841,168
2023-01-01D12:00:28.000267278,EURUSD,1199987,529
2023-01-01D12:00:28.000918959,GBPUSD,1349150,126
2023-01-01D12:00:29.000005705,GBPUSD,1350196,50
2023-01-01D12:00:29.000871453,USDJPY,115000552,513
2023-01-01D12:00:29.000932775,EURUSD,1200228,924
2023-01-01D12:00:30.000491806,USDJPY,114999629,992
2023-01-01D12:00:30.000716596,EURUSD,1200950,316
2023-01-01D12:00:30.000928505,GBPUSD,1350628,480
2023-01-01D12:00:31.000068719,USDJPY,114999215,264
2023-01-01D12:00:31.000620425,GBPUSD,1349317,584
2023-01-01D12:00:31.000892422,EURUSD,1200207,194
2023-01-01D12:00:32.000429522,USDJPY,114999028,704
2023-01-01D12:00:32.000918110,GBPUSD,1349976,167
2023-01-01D12:00:32.000919803,EURUSD,1199960,486
2023-01-01D12:00:33.000582393,EURUSD,1200931,353
2023-01-01D12:00:33.000813620,GBPUSD,1349687,432
2023-01-01D12:00:33.000950835,USDJPY,115000908,866
2023-01-01D12:00:34.000009861,GBPUSD,1350149,129
2023-01-01D12:00:34.000140981,USDJPY,115000224,577
2023-01-01D12:00:34.000606499,EURUSD,1200582,632
2023-01-01D12:00:35.000276340,USDJPY,114999023,765
2023-01-01D12:00:35.000697598,EURUSD,1199098,900
2023-01-01D12:00:35.000868983,GBPUSD,1349660,690
2023-01-01D12:00:36.000060205,GBPUSD,1350539,34
2023-01-01D12:00:36.000401159,EURUSD,1199066,869
2023-01-01D12:00:36.000969887,USDJPY,114999681,128
2023-01-01D12:00:37.000618193,USDJPY,114999090,88
